unidade_federativa,municipio,IBGE,populacao,valor_total_previsto,valor_total_01,valor_centavos,status_implantacao,pontos_atendidos,valor_investido,valor_investido_01,valor_investido_em_centavos
PA,Conceição do Araguaia,1502707,46395,"901.124,75",901.124,75,Concluída,27,"722265,7",722265,7
PA,Curralinho,1502806,32248,"514.114,46",514.114,46,Sem Previsão,23,"0,0",0,0
PA,Curuçá,1502905,37800,"424.83,85",424.83,85,Concluída,11,"130558,1",130558,1
PA,Goianésia do Pará,1503093,37975,"557.09,75",557.09,75,Concluída,14,"413613,5",413613,5
PA,Itaituba,1503606,98446,"926.456,65",926.456,65,Concluída,30,"770171,6",770171,6
PA,Mãe do Rio,1504059,28959,"752.184,78",752.184,78,Sem Previsão,20,"83.562,0",83.562,0
PA,Marituba,1504422,122916,"746.189,75",746.189,75,Concluída,19,"289252,0",289252,0
PA,Muaná,1504901,37977,"791.851,90",791.851,90,Sem Previsão,23,"0,0",0,0
PA,Novo Progresso,1505031,25135,"1.435.144,47",1.435.144,47,Sem Previsão,38,"0,0",0,0
PA,Óbidos,1505106,50459,"1.065.228,26",1.065.228,26,Sem Previsão,38,"0,0",0,0
PA,Pacajá,1505486,44778,"918.477,20",918.477,20,Sem Previsão,29,"0,0",0,0
PA,Palestina do Pará,1505494,7424,"721.189,4",721.189,4,Sem Previsão,23,"0,0",0,0
PA,Paragominas,1505502,107010,"1.023.839,75",1.023.839,75,Concluída,34,"836808,1",836808,1
PA,São Domingos do Araguaia,1507151,24451,"944.073,64",944.073,64,Sem Previsão,33,"0,0",0,0
PA,São Sebastião da Boa Vista,2503100,25161,"1.019.380,74",1.019.380,74,Sem Previsão,28,"0,0",0,0
PA,Soure,1507904,24286,"1.436.297,70",1.436.297,70,Sem Previsão,38,"0,0",0,0
PA,Trairão,1508050,18084,"522.826,11",522.826,11,Concluída,15,"242272,0",242272,0
PA,Tucuruí,1508100,107189,"559.184,35",559.184,35,Concluída,13,"218948,0",218948,0
PA,Uruará,1508159,44486,"783.863,93",783.863,93,Concluída,26,"647554,6",647554,6
PB,Algodão de Jandaíra,2500577,2475,"289.596,37",289.596,37,Sem Previsão,15,"0,0",0,0
PB,Cabaceiras,2503100,5449,"355.867,86",355.867,86,Em andamento,15,"0,0",0,0
PB,Cachoeira dos Índios,2503308,10114,"428.579,50",428.579,50,Concluída,14,"377463,7",377463,7
PB,Esperança,2506004,32785,"643.482,51",643.482,51,Em andamento,23,"0,0",0,0
PB,Itaporanga,2507002,24499,"649.011,44",649.011,44,Em andamento,23,"0,0",0,0
PB,Lagoa Seca,2508307,27247,"600.9,72",600.9,72,Concluída,23,"509997,1",509997,1
PB,Mari,2509107,21755,"820.023,0",820.023,0,Sem Previsão,42,"0,0",0,0
PB,Nova Floresta,2510105,10650,"266.802,12",266.802,12,Concluída,6,"206113,4",206113,4
PB,Pocinhos,2512002,18272,"419.387,54",419.387,54,Concluída,14,"364650,7",364650,7
PB,Queimadas,2512507,43667,"539.153,44",539.153,44,Concluída,19,"490024,6",490024,6
PB,Riachão do Poco,2512762,4442,"271.785,75",271.785,75,Sem Previsão,10,"0,0",0,0
PB,São João do Rio do Peixe,2500700,17929,"550.508,58",550.508,58,Concluída,19,"526144,0",526144,0
PB,Seridó,2515401,10900,"414.241,2",414.241,2,Sem Previsão,17,"0,0",0,0
PB,Sobrado,2515971,7712,"313.026,32",313.026,32,Sem Previsão,11,"0,0",0,0
PB,Solânea,2516003,26734,"823.494,82",823.494,82,Sem Previsão,28,"0,0",0,0
PB,Sumé,2516300,16784,"560.687,23",560.687,23,Sem Previsão,26,"0,0",0,0
PB,Teixeira,2516706,14974,"629.847,40",629.847,40,Sem Previsão,20,"0,0",0,0
PB,Vieirópolis,2517209,5295,"360.13,3",360.13,3,Sem Previsão,16,"0,0",0,0
PE,Altinho,2600807,22876,"535.504,77",535.504,77,Sem Previsão,13,"0,0",0,0
PE,Bodocó,2602001,37317,"485.264,10",485.264,10,Concluída,14,"410386,3",410386,3
PE,Bom Conselho,2602100,47760,"1.055.014,86",1.055.014,86,Sem Previsão,24,"0,0",0,0
PE,Camutanga,2603603,8450,"401.41,82",401.41,82,Sem Previsão,14,"0,0",0,0
PE,Cortês,2604809,12602,"508.256,37",508.256,37,Sem Previsão,24,"0,0",0,0
PE,Dormentes,2605152,18321,"481.178,83",481.178,83,Sem Previsão,16,"0,0",0,0
PE,Exu,2605301,31928,"661.855,41",661.855,41,Sem Previsão,22,"0,0",0,0
PE,Granito,2606309,7308,"456.93,19",456.93,19,Sem Previsão,15,"0,0",0,0
PE,Itambé,2607653,36278,"910.778,44",910.778,44,Sem Previsão,38,"75.213,50",75.213,50
PE,Lagoa Grande,2608750,24757,"560.139,77",560.139,77,Sem Previsão,21,"0,0",0,0
PE,Machados,2609105,15313,"584.854,35",584.854,35,Sem Previsão,20,"0,0",0,0
PE,Moreilândia,2614303,11242,"591.799,1",591.799,1,Sem Previsão,20,"0,0",0,0
PE,Santa Cruz,2411205,38924,"471.426,7",471.426,7,Sem Previsão,15,"0,0",0,0
PE,Tupanatinga,2615805,26454,"562.734,60",562.734,60,Sem Previsão,25,"0,0",0,0
PE,Tuparetama,2615904,8149,"409.294,75",409.294,75,Sem Previsão,18,"0,0",0,0
PE,Vicância,2616308,32157,"413.073,29",413.073,29,Sem Previsão,12,"41.107,50",41.107,50
PI,Canto do Buriti,2202307,20700,"813.893,10",813.893,10,Sem Previsão,22,"0,0",0,0
PI,Coronel José Dias,2202851,4602,"229.836,98",229.836,98,Sem Previsão,7,"0,0",0,0
PI,Curimatã,2203206,11121,"738.588,14",738.588,14,Sem Previsão,18,"0,0",0,0
PI,Inhuma,2204709,15044,"499.01,0",499.01,0,Concluída,16,"0,0",0,0
PI,Joca Marques,2205458,5308,"340.013,39",340.013,39,Sem Previsão,9,"34.001,34",34.001,34
PI,Júlio Borges,2205524,5510,"381.318,38",381.318,38,Sem Previsão,14,"0,0",0,0
PI,Luís Correia,2205706,29558,"824.906,65",824.906,65,Sem Previsão,21,"0,0",0,0
PI,Nossa Senhora de Nazaré,2206753,4747,"240.826,43",240.826,43,Sem Previsão,8,"24.082,64",24.082,64
PI,Nossa Senhora dos Remédios,2206803,8491,"444.251,27",444.251,27,Sem Previsão,15,"44.425,13",44.425,13
PI,Oeiras,2207009,36329,"945.054,68",945.054,68,Sem Previsão,18,"78.965,0",78.965,0
PI,Pedro II,2207900,38055,"1.171.791,75",1.171.791,75,Sem Previsão,35,"226.142,27",226.142,27
PI,Regeneração,2208809,17697,"598.959,0",598.959,0,Concluída,20,"382085,0",382085,0
PI,Ribeira do Piauí,2208874,4381,"242.612,50",242.612,50,Sem Previsão,8,"0,0",0,0
PI,São João da Fronteira,2209872,5898,"410.24,33",410.24,33,Sem Previsão,12,"41.024,3",41.024,3
PI,São José do Divino,2210052,5246,"324.598,35",324.598,35,Concluída,9,"0,0",0,0
PI,Sebastião Barros,2210623,3455,"235.679,98",235.679,98,Sem Previsão,9,"0,0",0,0
PI,Socorro do Piauí,2210904,4512,"288.38,56",288.38,56,Sem Previsão,10,"0,0",0,0
PI,Várzea Branca,2211357,4889,"261.639,58",261.639,58,Sem Previsão,7,"26.145,0",26.145,0
PR,Assis Chateaubriand,4102000,34027,"679.27,0",679.27,0,Concluída,24,"388840,0",388840,0
PR,Bandeirantes,4102406,32639,"279.409,70",279.409,70,Em andamento,7,"0,0",0,0
PR,Ibaiti,4109708,30678,"876.774,62",876.774,62,Sem Previsão,37,"0,0",0,0
PR,Ibiporã,4109807,52330,"466.649,65",466.649,65,Concluída,11,"393175,34",393175,34
PR,Imbituva,4110102,31055,"730.635,37",730.635,37,Sem Previsão,16,"73.063,54",73.063,54
PR,Jacarezinho,4111803,40243,"1.097.593,40",1.097.593,40,Sem Previsão,25,"0,0",0,0
PR,Jaguariaíva,4112009,34468,"1.289.645,4",1.289.645,4,Sem Previsão,40,"0,0",0,0
PR,Palmas,1721000,272726,"875.603,0",875.603,0,Concluída,28,"800518,0",800518,0
