unidade_federativa,municipio,IBGE,populacao,valor_total_previsto,valor_total_01,valor_centavos,status_implantacao,pontos_atendidos,valor_investido,valor_investido_01,valor_investido_em_centavos
SE,Riachão do Dantas,2805802,19976,"473.31,93",473.31,93,Sem Previsão,21,"0,0",0,0
SE,Tobias Barreto,2807402,51375,"829.388,43",829.388,43,Sem Previsão,36,"0,0",0,0
SP,Apiaá,3502705,25211,"957.039,36",957.039,36,Concluída,35,"958073,92",958073,92
SP,Aracoiaba da Serra,3502903,31321,"1.625.187,54",1.625.187,54,Sem Previsão,22,"0,0",0,0
SP,Barra do Chapéu,3505351,5585,"335.161,32",335.161,32,Concluída,11,"260844,47",260844,47
SP,Boituva,3507001,55725,"1.391.367,12",1.391.367,12,Sem Previsão,44,"0,0",0,0
SP,Cachoeira Paulista,3508603,32294,"935.119,68",935.119,68,Sem Previsão,27,"0,0",0,0
SP,Casa Branca,3510807,29877,"621.901,86",621.901,86,Concluída,21,"0,0",0,0
SP,Conchal,3512209,27132,"1.135.692,68",1.135.692,68,Sem Previsão,39,"0,0",0,0
SP,Descalvado,3513702,32980,"451.24,30",451.24,30,Em andamento,16,"0,0",0,0
SP,Espírito Santo do Pinhal,3515186,43897,"1.661.169,74",1.661.169,74,Sem Previsão,47,"0,0",0,0
SP,Guararapes,3518206,32346,"831.691,60",831.691,60,Concluída,26,"772690,54",772690,54
SP,Guareí,3518503,16867,"505.817,4",505.817,4,Sem Previsão,18,"50.581,71",50.581,71
SP,Ibaté,3519303,33535,"1.584.846,88",1.584.846,88,Sem Previsão,34,"162.167,0",162.167,0
SP,Ituverava,3524105,40994,"1.448.262,92",1.448.262,92,Sem Previsão,28,"0,0",0,0
SP,Jales,3524808,48922,"1.705.825,26",1.705.825,26,Sem Previsão,42,"0,0",0,0
SP,Jarinu,3525201,27473,"1.277.621,82",1.277.621,82,Sem Previsão,28,"0,0",0,0
SP,Lourdes,3527256,2249,"438.445,29",438.445,29,Concluída,15,"354671,92",354671,92
SP,Louveira,3527306,43862,"1.204.519,24",1.204.519,24,Sem Previsão,17,"0,0",0,0
SP,Mairinque,3528403,46015,"1.390.757,84",1.390.757,84,Sem Previsão,23,"0,0",0,0
SP,Miracatu,3529906,20533,"652.792,68",652.792,68,Sem Previsão,17,"0,0",0,0
SP,Mirante do Paranapanema,3530201,17979,"610.647,24",610.647,24,Sem Previsão,24,"0,0",0,0
SP,Orlândia,3534302,42678,"1.595.135,44",1.595.135,44,Sem Previsão,58,"0,0",0,0
SP,Pederneiras,3536703,44910,"1.516.904,64",1.516.904,64,Sem Previsão,51,"0,0",0,0
SP,Penápolis,3537305,62071,"702.701,56",702.701,56,Concluída,21,"608824,64",608824,64
SP,Presidente Epitácio,3541307,43535,"584.153,42",584.153,42,Concluída,16,"245305,0",245305,0
SP,Presidente Venceslau,3541505,39407,"1.347.227,8",1.347.227,8,Sem Previsão,42,"0,0",0,0
SP,Promissão,3541604,38764,"864.957,78",864.957,78,Sem Previsão,30,"0,0",0,0
SP,Santa Gertrudes,3546702,24737,"730.256,0",730.256,0,Concluída,25,"674964,22",674964,22
SP,São Joaquim da Barra,3549409,50110,"1.536.581,60",1.536.581,60,Sem Previsão,22,"0,0",0,0
SP,São Manuel,3550100,40367,"1.119.305,92",1.119.305,92,Sem Previsão,26,"0,0",0,0
RN,São Pedro,2412708,6216,"1.015.248,54",1.015.248,54,Sem Previsão,10,"0,0",0,0
SP,Serrana,3551504,42784,"1.199.583,92",1.199.583,92,Sem Previsão,47,"0,0",0,0
SP,Socorro,3552106,39565,"740.416,36",740.416,36,Concluída,24,"711125,4",711125,4
SP,Tietê,3554508,40194,"1.980.602,66",1.980.602,66,Sem Previsão,44,"0,0",0,0
SP,Valparaíso,3556305,24993,"978.516,72",978.516,72,Sem Previsão,23,"0,0",0,0
SP,Vargem Grande do Sul,3556404,41807,"1.525.640,54",1.525.640,54,Sem Previsão,47,"0,0",0,0
TO,Paraíso do Tocantins,1716109,49076,"1.872.693,90",1.872.693,90,Sem Previsão,49,"0,0",0,0
TO,Ponte Alta do Bom Jesus,1717800,4649,"251.266,44",251.266,44,Sem Previsão,9,"23.969,90",23.969,90
TO,Porto Nacional,1718204,52182,"1.101.168,76",1.101.168,76,Sem Previsão,61,"0,0",0,0
TO,São Miguel do Tocantins,1720200,11597,"592.549,70",592.549,70,Sem Previsão,20,"0,0",0,0
